date,temp,prec,hum
6/7/1966 0:00,13.2,0,83
6/8/1966 0:00,15,0,83
6/9/1966 0:00,19.2,0,66
6/10/1966 0:00,17.8,0,61
6/11/1966 0:00,15.5,0,70
6/12/1966 0:00,15.6,0,74
6/13/1966 0:00,17.4,0,63
6/14/1966 0:00,13.5,0,73
6/15/1966 0:00,14.4,0,79
6/16/1966 0:00,16.2,0,70
6/17/1966 0:00,16.3,0,81
6/18/1966 0:00,18.2,0,71
6/19/1966 0:00,18.4,0,68
6/20/1966 0:00,19,0,62
6/21/1966 0:00,20.7,0,60
6/22/1966 0:00,18.7,0.3,83
6/23/1966 0:00,18.6,0.8,82
6/24/1966 0:00,19.1,0,73
6/25/1966 0:00,19,0,77
6/26/1966 0:00,19,0,87
6/27/1966 0:00,18.9,0,84
6/28/1966 0:00,18.1,9.4,85
6/29/1966 0:00,17.7,0.3,83
6/30/1966 0:00,16,27,92
7/1/1966 0:00,15.6,0,83
7/2/1966 0:00,15.2,0,87
7/3/1966 0:00,16.4,0,88
7/4/1966 0:00,16.9,0,83
7/5/1966 0:00,17.1,0,82
7/6/1966 0:00,15.8,13,91
7/7/1966 0:00,17,0,83
7/8/1966 0:00,16,6.9,93
7/9/1966 0:00,15.4,2.5,84
7/10/1966 0:00,15.7,5.4,79
7/11/1966 0:00,16.3,0,87
7/12/1966 0:00,16.9,9.9,84
7/13/1966 0:00,15.2,5.3,94
7/14/1966 0:00,16.8,13.3,91
7/15/1966 0:00,16.1,0.2,83
7/16/1966 0:00,15,1.5,80
7/17/1966 0:00,16.1,0.7,84
7/18/1966 0:00,17.1,2.2,88
7/19/1966 0:00,17.9,0,82
7/20/1966 0:00,20.3,0,73
7/21/1966 0:00,20.1,0,75
7/22/1966 0:00,20.6,0,86
7/23/1966 0:00,20,0,85
7/24/1966 0:00,21,0.2,84
7/25/1966 0:00,22.4,9.7,78
7/26/1966 0:00,20.4,6.5,88
7/27/1966 0:00,17.1,15.3,85
7/28/1966 0:00,17.1,0,80
7/29/1966 0:00,17.6,12.2,85
7/30/1966 0:00,15.6,0,89
7/31/1966 0:00,16,5.3,83
8/1/1966 0:00,15.5,2.2,88
8/2/1966 0:00,17.4,0,75
8/3/1966 0:00,15.5,2,90
8/4/1966 0:00,16.1,0,79
8/5/1966 0:00,15.9,37.2,98
8/6/1966 0:00,16.6,0,83
8/7/1966 0:00,15.5,0,91
8/8/1966 0:00,16.6,18.5,83
8/9/1966 0:00,19.3,0,82
8/10/1966 0:00,16.5,2.9,90
8/11/1966 0:00,15.5,0.4,90
8/12/1966 0:00,17.1,0,85
8/13/1966 0:00,16.6,6.5,97
8/14/1966 0:00,16,2.6,94
8/15/1966 0:00,16.1,3.2,87
8/16/1966 0:00,15.5,0,67
8/17/1966 0:00,16.4,0,70
8/18/1966 0:00,16.7,0,81
8/19/1966 0:00,16.7,0,91
8/20/1966 0:00,17.9,0,88
8/21/1966 0:00,15.8,0,91
8/22/1966 0:00,15.6,0,84
8/23/1966 0:00,13.2,0.3,83
8/24/1966 0:00,11.6,17.5,89
8/25/1966 0:00,12.3,2.7,80
8/26/1966 0:00,11.9,0,75
8/27/1966 0:00,11.5,0,87
8/28/1966 0:00,12.2,0,72
8/29/1966 0:00,8.4,0,73
8/30/1966 0:00,9.9,0,83
8/31/1966 0:00,11.1,0,83
9/1/1966 0:00,13.7,0,66
9/2/1966 0:00,13.9,1.3,84
9/3/1966 0:00,14.3,1.1,88
9/4/1966 0:00,14.6,6.4,88
9/5/1966 0:00,14.8,1,89
9/6/1966 0:00,13.6,7.6,94
9/7/1966 0:00,14.4,3.8,84
9/8/1966 0:00,13.9,5.1,84
9/9/1966 0:00,11.1,10.5,81
9/10/1966 0:00,7.6,0,76
9/11/1966 0:00,10,7.5,89
9/12/1966 0:00,14.1,2.2,83
9/13/1966 0:00,12.7,3.1,89
9/14/1966 0:00,14.2,4.3,89
9/15/1966 0:00,13,6.3,89
9/16/1966 0:00,13.1,3.7,81
9/17/1966 0:00,12.5,0,81
9/18/1966 0:00,10.1,1,66
9/19/1966 0:00,9.5,0,71
9/20/1966 0:00,12.7,0,81
9/21/1966 0:00,12.2,5.1,78
9/22/1966 0:00,9.3,0.5,71
9/23/1966 0:00,9.4,1.2,73
9/24/1966 0:00,9.5,1.4,73
9/25/1966 0:00,8.4,0.5,74
9/26/1966 0:00,8,1.6,75
9/27/1966 0:00,7.4,3.8,74
9/28/1966 0:00,5.8,2.4,67
9/29/1966 0:00,6.4,3.1,71
9/30/1966 0:00,9,1.2,77
10/1/1966 0:00,9,0,81
10/2/1966 0:00,10.5,10.3,87
10/3/1966 0:00,14.3,0.8,90
10/4/1966 0:00,15.9,0.2,83
10/5/1966 0:00,12.3,3.3,88
10/6/1966 0:00,6.3,0,72
10/7/1966 0:00,6.5,0,74
10/8/1966 0:00,13.8,0,81
10/9/1966 0:00,13,0,81
10/10/1966 0:00,6.1,0.4,70
10/11/1966 0:00,2.4,0,72
10/12/1966 0:00,7.7,3.3,89
10/13/1966 0:00,5.5,1.4,80
10/14/1966 0:00,4,0,76
10/15/1966 0:00,1.5,0,82
10/16/1966 0:00,4.3,0,89
10/17/1966 0:00,8,0,90
10/18/1966 0:00,10.1,1.5,98
10/19/1966 0:00,10.8,0.6,97
10/20/1966 0:00,11.4,0,93
10/21/1966 0:00,10.9,1.6,89
10/22/1966 0:00,10.7,7.1,97
10/23/1966 0:00,9.1,6.9,94
10/24/1966 0:00,8.5,18.2,87
10/25/1966 0:00,7.3,7.2,76
10/26/1966 0:00,2.7,0,78
10/27/1966 0:00,0.4,0,82
10/28/1966 0:00,-0.7,0,79
10/29/1966 0:00,-0.7,0,78
10/30/1966 0:00,-1.1,0,83
10/31/1966 0:00,0.5,0,81
11/1/1966 0:00,-2.5,0,80
11/2/1966 0:00,-4,0,86
11/3/1966 0:00,-0.5,0,83
11/4/1966 0:00,0.9,0,67
11/5/1966 0:00,3.4,0,70
11/6/1966 0:00,5.1,0,89
11/7/1966 0:00,6.2,0,98
11/8/1966 0:00,3.6,1,99
11/9/1966 0:00,1.8,0,98
11/10/1966 0:00,3.1,0,89
11/11/1966 0:00,6.3,0,84
11/12/1966 0:00,1.1,0,80
11/13/1966 0:00,-1.2,0.3,81
11/14/1966 0:00,0.9,0,82
11/15/1966 0:00,-1.4,3.7,83
11/16/1966 0:00,0.8,0.3,88
11/17/1966 0:00,1.1,0.2,87
11/18/1966 0:00,0.3,0,90
11/19/1966 0:00,0.8,0,79
11/20/1966 0:00,2.4,3.5,79
11/21/1966 0:00,4,0.7,86
11/22/1966 0:00,3.2,0,75
11/23/1966 0:00,1.7,0.4,89
11/24/1966 0:00,1.8,0.4,92
11/25/1966 0:00,2.1,2.8,93
11/26/1966 0:00,1.1,11.8,91
11/27/1966 0:00,3.5,4,87
11/28/1966 0:00,2.1,3.7,88
11/29/1966 0:00,1.1,2.9,84
11/30/1966 0:00,-1.5,1.3,70
12/1/1966 0:00,-0.8,1.4,82
12/2/1966 0:00,2.2,0.6,75
12/3/1966 0:00,3.9,1.2,76
12/4/1966 0:00,2.4,8,92
12/5/1966 0:00,0.6,1.4,91
12/6/1966 0:00,-4.3,0.5,85
12/7/1966 0:00,-7.5,0,74
12/8/1966 0:00,-9.3,0,82
12/9/1966 0:00,-7.6,0.4,69
12/10/1966 0:00,-4.3,0.9,81
12/11/1966 0:00,-2.7,0,73
12/12/1966 0:00,-4.7,1.3,74
12/13/1966 0:00,-8.4,2.7,80
12/14/1966 0:00,-7.9,1.4,77
12/15/1966 0:00,-10.2,1.1,76
12/16/1966 0:00,-12.6,0.9,80
12/17/1966 0:00,-15.4,0.2,81
12/18/1966 0:00,-7,3.9,86
12/19/1966 0:00,0.8,5.3,92
12/20/1966 0:00,-0.6,2.8,88
12/21/1966 0:00,-3.5,0.9,86
12/22/1966 0:00,-7.4,1.4,79
12/23/1966 0:00,-7.4,0.2,83
12/24/1966 0:00,-3.5,1.3,79
12/25/1966 0:00,-0.6,0.8,84
12/26/1966 0:00,-2.4,8.2,89
12/27/1966 0:00,-4.9,1.5,83
12/28/1966 0:00,-2.9,6.1,86
12/29/1966 0:00,-6.1,0.3,74
12/30/1966 0:00,-1.7,1.8,81
12/31/1966 0:00,1.5,1.9,91
1/1/1967 0:00,1,1.2,82
1/2/1967 0:00,1.1,0,85
1/3/1967 0:00,-0.3,0,78
1/4/1967 0:00,-1.7,1,87
1/5/1967 0:00,-3.9,2.6,87
1/6/1967 0:00,-7.5,1.7,87
1/7/1967 0:00,-9.2,0,86
1/8/1967 0:00,-8.8,1.8,86
1/9/1967 0:00,-5.1,2.8,81
1/10/1967 0:00,-15.4,1.6,81
1/11/1967 0:00,-0.3,5.6,90
1/12/1967 0:00,-9.8,0,71
1/13/1967 0:00,-15.2,0,81
1/14/1967 0:00,-7.8,1,77
1/15/1967 0:00,-10.1,0,74
1/16/1967 0:00,-16.4,0,77
1/17/1967 0:00,-6.4,0.5,82
1/18/1967 0:00,-2.7,0.3,87
1/19/1967 0:00,-4.6,0.5,81
1/20/1967 0:00,-3.7,0.3,80
1/21/1967 0:00,-14.3,0,74
1/22/1967 0:00,-21.9,0,73
1/23/1967 0:00,-24.1,0,73
1/24/1967 0:00,-23,0,69
1/25/1967 0:00,-17.6,0,68
1/26/1967 0:00,-15.8,1,71
1/27/1967 0:00,-13.9,0.3,76
1/28/1967 0:00,-13.1,0,76
1/29/1967 0:00,-10.3,6,84
1/30/1967 0:00,-24.7,0,74
1/31/1967 0:00,-22.3,0,70
2/1/1967 0:00,-12.5,1.4,55
2/2/1967 0:00,-9.8,4.1,72
2/3/1967 0:00,-7.6,1.1,77
2/4/1967 0:00,-0.3,8.7,90
2/5/1967 0:00,-3.9,0.2,77
2/6/1967 0:00,0.3,0,90
2/7/1967 0:00,0,0.3,71
2/8/1967 0:00,-2.4,0,73
2/9/1967 0:00,-5.2,0,77
2/10/1967 0:00,-2.7,1.1,84
2/11/1967 0:00,-8.6,0,86
2/12/1967 0:00,-3.8,0,84
2/13/1967 0:00,-1.7,0,86
2/14/1967 0:00,-1.5,0,81
2/15/1967 0:00,-4.7,0,82
2/16/1967 0:00,-4.4,0.4,78
2/17/1967 0:00,-7.1,0,80
2/18/1967 0:00,-7,0,74
2/19/1967 0:00,-2.9,0,72
2/20/1967 0:00,-0.3,1.4,78
2/21/1967 0:00,1.6,3.3,87
2/22/1967 0:00,-1.3,0,77
2/23/1967 0:00,-0.3,0.5,82
2/24/1967 0:00,0.8,4,86
2/25/1967 0:00,0.9,3.6,87
2/26/1967 0:00,0.8,0.7,82
2/27/1967 0:00,1.2,0,69
2/28/1967 0:00,1.1,0,79
3/1/1967 0:00,1.7,6.7,79
3/2/1967 0:00,1.2,0,79
3/3/1967 0:00,1.2,1.8,84
3/4/1967 0:00,-0.6,4.1,90
3/5/1967 0:00,-0.8,0,77
3/6/1967 0:00,2,3,85
3/7/1967 0:00,2.3,0,81
3/8/1967 0:00,1.7,0.3,94
3/9/1967 0:00,0.8,0,91
3/10/1967 0:00,3.2,0,82
3/11/1967 0:00,6,0.4,83
3/12/1967 0:00,3.4,6.9,85
3/13/1967 0:00,1.9,0.4,85
3/14/1967 0:00,1.4,1.5,78
3/15/1967 0:00,0.5,0.9,87
3/16/1967 0:00,2,0.8,74
3/17/1967 0:00,0.3,0.3,81
3/18/1967 0:00,-0.6,1.4,82
3/19/1967 0:00,1.2,0.8,86
3/20/1967 0:00,1.9,1.1,81
3/21/1967 0:00,0.1,2.8,90
3/22/1967 0:00,2.8,0.6,76
3/23/1967 0:00,0.7,1.6,83
3/24/1967 0:00,-1,1.1,87
3/25/1967 0:00,-1.5,0,63
3/26/1967 0:00,1.1,3.1,71
3/27/1967 0:00,3,4.6,81
3/28/1967 0:00,4.5,0.5,66
3/29/1967 0:00,3.4,3.2,77
3/30/1967 0:00,1.7,0,86
3/31/1967 0:00,2.5,2,82
4/1/1967 0:00,1.5,0,82
4/2/1967 0:00,0.3,0.4,88
4/3/1967 0:00,0,0,81
4/4/1967 0:00,-1.2,0,83
4/5/1967 0:00,1.7,0,64
4/6/1967 0:00,4.2,0.4,60
4/7/1967 0:00,6.3,0,61
4/8/1967 0:00,7.1,0,60
4/9/1967 0:00,6.6,0.8,76
4/10/1967 0:00,5.7,7.2,87
4/11/1967 0:00,7.3,3.9,85
4/12/1967 0:00,5.3,0,77
4/13/1967 0:00,5.2,7.8,81
4/14/1967 0:00,2.5,0,82
4/15/1967 0:00,4.3,0,73
4/16/1967 0:00,5.7,0,77
4/17/1967 0:00,4.6,2.5,87
4/18/1967 0:00,2.6,7.2,72
4/19/1967 0:00,0.9,0,66
4/20/1967 0:00,0.9,6.9,79
4/21/1967 0:00,5.5,3.1,77
4/22/1967 0:00,5.3,3.6,73
4/23/1967 0:00,3.2,0,75
4/24/1967 0:00,4.4,0,67
4/25/1967 0:00,5.1,0,58
4/26/1967 0:00,4.2,0,62
4/27/1967 0:00,5.2,0,61
4/28/1967 0:00,6.2,0,57
4/29/1967 0:00,5.3,2.5,74
4/30/1967 0:00,3.8,0,72
5/1/1967 0:00,4.7,7.1,82
5/2/1967 0:00,8,5.5,84
5/3/1967 0:00,5.5,0,85
5/4/1967 0:00,9.6,11.7,83
